pokedex_number,name,type1,type2,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,percentage_male,classfication,height_m,weight_kg,capture_rate,base_egg_steps,abilities,experience_growth,base_happiness,hp,attack,defense,sp_attack,sp_defense,speed,base_total,generation,is_legendary
102,Exeggcute,grass,psychic,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,50,Egg Pok̩mon,0.4,2.5,90,5120,"['Chlorophyll', 'Harvest']",1250000,70,60,40,80,60,45,40,325,1,0
103,Exeggutor,grass,psychic,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,50,Coconut Pok̩mon,2,120,45,5120,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",1250000,70,95,105,85,125,75,45,530,1,0
104,Cubone,ground,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,Lonely Pok̩mon,0.4,6.5,190,5120,"['Rock Head', 'Lightningrod', 'Battle Armor']",1000000,70,50,50,95,40,50,35,320,1,0
105,Marowak,ground,fire,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,Bone Keeper Pok̩mon,1,45,75,5120,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",1000000,70,60,80,110,50,80,45,425,1,0
106,Hitmonlee,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,Kicking Pok̩mon,1.5,49.8,45,6400,"['Limber', 'Reckless', 'Unburden']",1000000,70,50,120,53,35,110,87,455,1,0
107,Hitmonchan,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,Punching Pok̩mon,1.4,50.2,45,6400,"['Keen Eye', 'Iron Fist', 'Inner Focus']",1000000,70,50,105,79,35,110,76,455,1,0
108,Lickitung,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Licking Pok̩mon,1.2,65.5,45,5120,"['Own Tempo', 'Oblivious', 'Cloud Nine']",1000000,70,90,55,75,60,75,30,385,1,0
109,Koffing,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,Poison Gas Pok̩mon,0.6,1,190,5120,['Levitate'],1000000,70,40,65,95,60,45,35,340,1,0
110,Weezing,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,Poison Gas Pok̩mon,1.2,9.5,60,5120,['Levitate'],1000000,70,65,90,120,85,70,60,490,1,0
111,Rhyhorn,ground,rock,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,Spikes Pok̩mon,1,115,120,5120,"['Lightningrod', 'Rock Head', 'Reckless']",1250000,70,80,85,95,30,30,25,345,1,0
112,Rhydon,ground,rock,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,Drill Pok̩mon,1.9,120,60,5120,"['Lightningrod', 'Rock Head', 'Reckless']",1250000,70,105,130,120,45,45,40,485,1,0
113,Chansey,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,0,Egg Pok̩mon,1.1,34.6,30,10240,"['Natural Cure', 'Serene Grace', 'Healer']",800000,140,250,5,5,35,105,50,450,1,0
114,Tangela,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,Vine Pok̩mon,1,35,45,5120,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",1000000,70,65,55,115,100,40,60,435,1,0
115,Kangaskhan,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,0,Parent Pok̩mon,2.2,80,45,5120,"['Early Bird', 'Scrappy', 'Inner Focus']",1000000,70,105,125,100,60,100,100,590,1,0
116,Horsea,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,Dragon Pok̩mon,0.4,8,225,5120,"['Swift Swim', 'Sniper', 'Damp']",1000000,70,30,40,70,70,25,60,295,1,0
117,Seadra,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,Dragon Pok̩mon,1.2,25,75,5120,"['Poison Point', 'Sniper', 'Damp']",1000000,70,55,65,95,95,45,85,440,1,0
118,Goldeen,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,Goldfish Pok̩mon,0.6,15,225,5120,"['Swift Swim', 'Water Veil', 'Lightningrod']",1000000,70,45,67,60,35,50,63,320,1,0
119,Seaking,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,Goldfish Pok̩mon,1.3,39,60,5120,"['Swift Swim', 'Water Veil', 'Lightningrod']",1000000,70,80,92,65,65,80,68,450,1,0
120,Staryu,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,,Starshape Pok̩mon,0.8,34.5,225,5120,"['Illuminate', 'Natural Cure', 'Analytic']",1250000,70,30,45,55,70,55,85,340,1,0
121,Starmie,water,psychic,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,,Mysterious Pok̩mon,1.1,80,60,5120,"['Illuminate', 'Natural Cure', 'Analytic']",1250000,70,60,75,85,100,85,115,520,1,0
122,Mr. Mime,psychic,fairy,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,50,Barrier Pok̩mon,1.3,54.5,45,6400,"['Soundproof', 'Filter', 'Technician']",1000000,70,40,45,65,100,120,90,460,1,0
123,Scyther,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,Mantis Pok̩mon,1.5,56,45,6400,"['Swarm', 'Technician', 'Steadfast']",1000000,70,70,110,80,55,80,105,500,1,0
124,Jynx,ice,psychic,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,0,Humanshape Pok̩mon,1.4,40.6,45,6400,"['Oblivious', 'Forewarn', 'Dry Skin']",1000000,70,65,50,35,115,95,95,455,1,0
125,Electabuzz,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,75.4,Electric Pok̩mon,1.1,30,45,6400,"['Static', 'Vital Spirit']",1000000,70,65,83,57,95,85,105,490,1,0
126,Magmar,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75.4,Spitfire Pok̩mon,1.3,44.5,45,6400,"['Flame Body', 'Vital Spirit']",1000000,70,65,95,57,100,85,93,495,1,0
127,Pinsir,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,Stagbeetle Pok̩mon,1.5,55,45,6400,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1250000,70,65,155,120,65,90,105,600,1,0
128,Tauros,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,100,Wild Bull Pok̩mon,1.4,88.4,45,5120,"['Intimidate', 'Anger Point', 'Sheer Force']",1250000,70,75,100,95,40,70,110,490,1,0
129,Magikarp,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,Fish Pok̩mon,0.9,10,255,1280,"['Swift Swim', 'Rattled']",1250000,70,20,10,55,15,20,80,200,1,0
130,Gyarados,water,flying,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,50,Atrocious Pok̩mon,6.5,235,45,1280,"['Intimidate', 'Moxie']",1250000,70,95,155,109,70,130,81,640,1,0
131,Lapras,water,ice,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,50,Transport Pok̩mon,2.5,220,45,10240,"['Water Absorb', 'Shell Armor', 'Hydration']",1250000,70,130,85,80,85,95,60,535,1,0
132,Ditto,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,,Transform Pok̩mon,0.3,4,35,5120,"['Limber', 'Imposter']",1000000,70,48,48,48,48,48,48,288,1,0
133,Eevee,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,88.1,Evolution Pok̩mon,0.3,6.5,45,8960,"['Run Away', 'Adaptability', 'Anticipation']",1000000,70,55,55,50,45,65,55,325,1,0
134,Vaporeon,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,Bubble Jet Pok̩mon,1,29,45,8960,"['Water Absorb', 'Hydration']",1000000,70,130,65,60,110,95,65,525,1,0
135,Jolteon,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,88.1,Lightning Pok̩mon,0.8,24.5,45,8960,"['Volt Absorb', 'Quick Feet']",1000000,70,65,65,60,110,95,130,525,1,0
136,Flareon,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,Flame Pok̩mon,0.9,25,45,8960,"['Flash Fire', 'Guts']",1000000,70,65,130,60,95,110,65,525,1,0
137,Porygon,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,,Virtual Pok̩mon,0.8,36.5,45,5120,"['Trace', 'Download', 'Analytic']",1000000,70,65,60,70,85,75,40,395,1,0
138,Omanyte,rock,water,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,88.1,Spiral Pok̩mon,0.4,7.5,45,7680,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1000000,70,35,40,100,90,55,35,355,1,0
139,Omastar,rock,water,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,88.1,Spiral Pok̩mon,1,35,45,7680,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1000000,70,70,60,125,115,70,55,495,1,0
140,Kabuto,rock,water,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,88.1,Shellfish Pok̩mon,0.5,11.5,45,7680,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1000000,70,30,80,90,55,45,55,355,1,0
141,Kabutops,rock,water,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,88.1,Shellfish Pok̩mon,1.3,40.5,45,7680,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1000000,70,60,115,105,65,70,80,495,1,0
142,Aerodactyl,rock,flying,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,88.1,Fossil Pok̩mon,1.8,59,45,8960,"['Rock Head', 'Pressure', 'Unnerve']",1250000,70,80,135,85,70,95,150,615,1,0
143,Snorlax,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,88.1,Sleeping Pok̩mon,2.1,460,25,10240,"['Immunity', 'Thick Fat', 'Gluttony']",1250000,70,160,110,65,65,110,30,540,1,0
144,Articuno,ice,flying,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,,Freeze Pok̩mon,1.7,55.4,3,20480,"['Pressure', 'Snow Cloak']",1250000,35,90,85,100,95,125,85,580,1,1
145,Zapdos,electric,flying,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,,Electric Pok̩mon,1.6,52.6,3,20480,"['Pressure', 'Static']",1250000,35,90,90,85,125,90,100,580,1,1
146,Moltres,fire,flying,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,,Flame Pok̩mon,2,60,3,20480,"['Pressure', 'Flame Body']",1250000,35,90,100,90,125,85,90,580,1,1
147,Dratini,dragon,,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,50,Dragon Pok̩mon,1.8,3.3,45,10240,"['Shed Skin', 'Marvel Scale']",1250000,35,41,64,45,50,50,50,300,1,0
148,Dragonair,dragon,,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,50,Dragon Pok̩mon,4,16.5,45,10240,"['Shed Skin', 'Marvel Scale']",1250000,35,61,84,65,70,70,70,420,1,0
149,Dragonite,dragon,flying,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,50,Dragon Pok̩mon,2.2,210,45,10240,"['Inner Focus', 'Multiscale']",1250000,35,91,134,95,100,100,80,600,1,0
150,Mewtwo,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,,Genetic Pok̩mon,2,122,3,30720,"['Pressure', 'Unnerve']",1250000,0,106,150,70,194,120,140,780,1,1
151,Mew,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,,New Species Pok̩mon,0.4,4,45,30720,['Synchronize'],1059860,100,100,100,100,100,100,100,600,1,1
152,Chikorita,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,88.1,Leaf Pok̩mon,0.9,6.4,45,5120,"['Overgrow', 'Leaf Guard']",1059860,70,45,49,65,49,65,45,318,2,0
153,Bayleef,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,88.1,Leaf Pok̩mon,1.2,15.8,45,5120,"['Overgrow', 'Leaf Guard']",1059860,70,60,62,80,63,80,60,405,2,0
154,Meganium,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,88.1,Herb Pok̩mon,1.8,100.5,45,5120,"['Overgrow', 'Leaf Guard']",1059860,70,80,82,100,83,100,80,525,2,0
155,Cyndaquil,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,Fire Mouse Pok̩mon,0.5,7.9,45,5120,"['Blaze', 'Flash Fire']",1059860,70,39,52,43,60,50,65,309,2,0
156,Quilava,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,Volcano Pok̩mon,0.9,19,45,5120,"['Blaze', 'Flash Fire']",1059860,70,58,64,58,80,65,80,405,2,0
157,Typhlosion,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,Volcano Pok̩mon,1.7,79.5,45,5120,"['Blaze', 'Flash Fire']",1059860,70,78,84,78,109,85,100,534,2,0
158,Totodile,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,Big Jaw Pok̩mon,0.6,9.5,45,5120,"['Torrent', 'Sheer Force']",1059860,70,50,65,64,44,48,43,314,2,0
159,Croconaw,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,Big Jaw Pok̩mon,1.1,25,45,5120,"['Torrent', 'Sheer Force']",1059860,70,65,80,80,59,63,58,405,2,0
160,Feraligatr,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,Big Jaw Pok̩mon,2.3,88.8,45,5120,"['Torrent', 'Sheer Force']",1059860,70,85,105,100,79,83,78,530,2,0
161,Sentret,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Scout Pok̩mon,0.8,6,255,3840,"['Run Away', 'Keen Eye', 'Frisk']",1000000,70,35,46,34,35,45,20,215,2,0
162,Furret,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Long Body Pok̩mon,1.8,32.5,90,3840,"['Run Away', 'Keen Eye', 'Frisk']",1000000,70,85,76,64,45,55,90,415,2,0
163,Hoothoot,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,Owl Pok̩mon,0.7,21.2,255,3840,"['Insomnia', 'Keen Eye', 'Tinted Lens']",1000000,70,60,30,30,36,56,50,262,2,0
164,Noctowl,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,Owl Pok̩mon,1.6,40.8,90,3840,"['Insomnia', 'Keen Eye', 'Tinted Lens']",1000000,70,100,50,50,86,96,70,452,2,0
165,Ledyba,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,Five Star Pok̩mon,1,10.8,255,3840,"['Swarm', 'Early Bird', 'Rattled']",800000,70,40,20,30,40,80,55,265,2,0
166,Ledian,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,Five Star Pok̩mon,1.4,35.6,90,3840,"['Swarm', 'Early Bird', 'Iron Fist']",800000,70,55,35,50,55,110,85,390,2,0
167,Spinarak,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,String Spit Pok̩mon,0.5,8.5,255,3840,"['Swarm', 'Insomnia', 'Sniper']",800000,70,40,60,40,40,40,30,250,2,0
168,Ariados,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,Long Leg Pok̩mon,1.1,33.5,90,3840,"['Swarm', 'Insomnia', 'Sniper']",800000,70,70,90,70,60,70,40,400,2,0
169,Crobat,poison,flying,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,50,Bat Pok̩mon,1.8,75,90,3840,"['Inner Focus', 'Infiltrator']",1000000,70,85,90,80,70,80,130,535,2,0
170,Chinchou,water,electric,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,50,Angler Pok̩mon,0.5,12,190,5120,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1250000,70,75,38,38,56,56,67,330,2,0
171,Lanturn,water,electric,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,50,Light Pok̩mon,1.2,22.5,75,5120,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1250000,70,125,58,58,76,76,67,460,2,0
172,Pichu,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,Tiny Mouse Pok̩mon,0.3,2,190,2560,"['Static', 'Lightningrod']",1000000,70,20,40,15,35,35,60,205,2,0
173,Cleffa,fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,24.6,Star Shape Pok̩mon,0.3,3,150,2560,"['Cute Charm', 'Magic Guard', 'Friend Guard']",800000,140,50,25,28,45,55,15,218,2,0
174,Igglybuff,normal,fairy,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,24.6,Balloon Pok̩mon,0.3,1,170,2560,"['Cute Charm', 'Competitive', 'Friend Guard']",800000,70,90,30,15,40,20,15,210,2,0
175,Togepi,fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,88.1,Spike Ball Pok̩mon,0.3,1.5,190,2560,"['Hustle', 'Serene Grace', 'Super Luck']",800000,70,35,20,65,40,65,20,245,2,0
176,Togetic,fairy,flying,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,88.1,Happiness Pok̩mon,0.6,3.2,75,2560,"['Hustle', 'Serene Grace', 'Super Luck']",800000,70,55,40,85,80,105,40,405,2,0
177,Natu,psychic,flying,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,50,Little Bird Pok̩mon,0.2,2,190,5120,"['Synchronize', 'Early Bird', 'Magic Bounce']",1000000,70,40,50,45,70,45,70,320,2,0
178,Xatu,psychic,flying,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,50,Mystic Pok̩mon,1.5,15,75,5120,"['Synchronize', 'Early Bird', 'Magic Bounce']",1000000,70,65,75,70,95,70,95,470,2,0
179,Mareep,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,Wool Pok̩mon,0.6,7.8,235,5120,"['Static', 'Plus']",1059860,70,55,40,40,65,45,35,280,2,0
180,Flaaffy,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,Wool Pok̩mon,0.8,13.3,120,5120,"['Static', 'Plus']",1059860,70,70,55,55,80,60,45,365,2,0
181,Ampharos,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,Light Pok̩mon,1.4,61.5,45,5120,"['Static', 'Plus']",1059860,70,90,95,105,165,110,45,610,2,0
182,Bellossom,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,Flower Pok̩mon,0.4,5.8,45,5120,"['Chlorophyll', 'Healer']",1059860,70,75,80,95,90,100,50,490,2,0
183,Marill,water,fairy,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,50,Aquamouse Pok̩mon,0.4,8.5,190,2560,"['Thick Fat', 'Huge Power', 'Sap Sipper']",800000,70,70,20,50,20,50,40,250,2,0
184,Azumarill,water,fairy,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,50,Aquarabbit Pok̩mon,0.8,28.5,75,2560,"['Thick Fat', 'Huge Power', 'Sap Sipper']",800000,70,100,50,80,60,80,50,420,2,0
185,Sudowoodo,rock,,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,50,Imitation Pok̩mon,1.2,38,65,5120,"['Sturdy', 'Rock Head', 'Rattled']",1000000,70,70,100,115,30,65,30,410,2,0
186,Politoed,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,Frog Pok̩mon,1.1,33.9,45,5120,"['Water Absorb', 'Damp', 'Drizzle']",1059860,70,90,75,75,90,100,70,500,2,0
187,Hoppip,grass,flying,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,50,Cottonweed Pok̩mon,0.4,0.5,255,5120,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1059860,70,35,35,40,35,55,50,250,2,0
188,Skiploom,grass,flying,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,50,Cottonweed Pok̩mon,0.6,1,120,5120,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1059860,70,55,45,50,45,65,80,340,2,0
189,Jumpluff,grass,flying,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,50,Cottonweed Pok̩mon,0.8,3,45,5120,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1059860,70,75,55,70,55,95,110,460,2,0
190,Aipom,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Long Tail Pok̩mon,0.8,11.5,45,5120,"['Run Away', 'Pickup', 'Skill Link']",800000,70,55,70,55,40,55,85,360,2,0
191,Sunkern,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,Seed Pok̩mon,0.3,1.8,235,5120,"['Chlorophyll', 'Solar Power', 'Early Bird']",1059860,70,30,30,30,30,30,30,180,2,0
192,Sunflora,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,Sun Pok̩mon,0.8,8.5,120,5120,"['Chlorophyll', 'Solar Power', 'Early Bird']",1059860,70,75,75,55,105,85,30,425,2,0
193,Yanma,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,Clear Wing Pok̩mon,1.2,38,75,5120,"['Speed Boost', 'Compoundeyes', 'Frisk']",1000000,70,65,65,45,75,45,95,390,2,0
194,Wooper,water,ground,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,50,Water Fish Pok̩mon,0.4,8.5,255,5120,"['Damp', 'Water Absorb', 'Unaware']",1000000,70,55,45,45,25,25,15,210,2,0
195,Quagsire,water,ground,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,50,Water Fish Pok̩mon,1.4,75,90,5120,"['Damp', 'Water Absorb', 'Unaware']",1000000,70,95,85,85,65,65,35,430,2,0
196,Espeon,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,88.1,Sun Pok̩mon,0.9,26.5,45,8960,"['Synchronize', 'Magic Bounce']",1000000,70,65,65,60,130,95,110,525,2,0
197,Umbreon,dark,,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,88.1,Moonlight Pok̩mon,1,27,45,8960,"['Synchronize', 'Inner Focus']",1000000,35,95,65,110,60,130,65,525,2,0
198,Murkrow,dark,flying,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,50,Darkness Pok̩mon,0.5,2.1,30,5120,"['Insomnia', 'Super Luck', 'Prankster']",1059860,35,60,85,42,85,42,91,405,2,0
199,Slowking,water,psychic,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,50,Royal Pok̩mon,2,79.5,70,5120,"['Oblivious', 'Own Tempo', 'Regenerator']",1000000,70,95,75,80,100,110,30,490,2,0
200,Misdreavus,ghost,,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,50,Screech Pok̩mon,0.7,1,45,6400,['Levitate'],800000,35,60,60,60,85,85,85,435,2,0
201,Unown,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,,Symbol Pok̩mon,0.5,5,225,10240,['Levitate'],1000000,70,48,72,48,72,48,48,336,2,0
202,Wobbuffet,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,Patient Pok̩mon,1.3,28.5,45,5120,"['Shadow Tag', 'Telepathy']",1000000,70,190,33,58,33,58,33,405,2,0
203,Girafarig,normal,psychic,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,50,Long Neck Pok̩mon,1.5,41.5,60,5120,"['Inner Focus', 'Early Bird', 'Sap Sipper']",1000000,70,70,80,65,90,65,85,455,2,0
204,Pineco,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,Bagworm Pok̩mon,0.6,7.2,190,5120,"['Sturdy', 'Overcoat']",1000000,70,50,65,90,35,35,15,290,2,0
205,Forretress,bug,steel,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,50,Bagworm Pok̩mon,1.2,125.8,75,5120,"['Sturdy', 'Overcoat']",1000000,70,75,90,140,60,60,40,465,2,0
206,Dunsparce,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Land Snake Pok̩mon,1.5,14,190,5120,"['Serene Grace', 'Run Away', 'Rattled']",1000000,70,100,70,70,65,65,45,415,2,0
207,Gligar,ground,flying,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,50,Flyscorpion Pok̩mon,1.1,64.8,60,5120,"['Hyper Cutter', 'Sand Veil', 'Immunity']",1059860,70,65,75,105,35,65,85,430,2,0
